time,V(vin_12v),V(vsense_adc),V(vsense_raw)
1.115000000000000e-03,1.200000000000000e+01,1.079349964699262e+00,1.145470429673861e+00
1.125000000000000e-03,1.200000000000000e+01,1.093351234659951e+00,1.158842707315836e+00
1.135000000000000e-03,1.200000000000000e+01,1.107219313009527e+00,1.172087776839662e+00
1.145000000000000e-03,1.200000000000000e+01,1.120955466776290e+00,1.185206848353725e+00
1.155000000000000e-03,1.200000000000000e+01,1.134560950935521e+00,1.198201120454866e+00
1.165000000000000e-03,1.200000000000000e+01,1.148037008524146e+00,1.211071780337883e+00
1.175000000000000e-03,1.200000000000000e+01,1.161384870754299e+00,1.223820003903999e+00
1.185000000000001e-03,1.200000000000000e+01,1.174605757125808e+00,1.236446955868299e+00
1.195000000000001e-03,1.200000000000000e+01,1.187700875537617e+00,1.248953789866136e+00
1.205000000000001e-03,1.200000000000000e+01,1.200671422398139e+00,1.261341648558534e+00
1.215000000000001e-03,1.200000000000000e+01,1.213518582734565e+00,1.273611663736585e+00
1.225000000000001e-03,1.200000000000000e+01,1.226243530301133e+00,1.285764956424853e+00
1.235000000000001e-03,1.200000000000000e+01,1.238847427686361e+00,1.297802636983790e+00
1.245000000000001e-03,1.200000000000000e+01,1.251331426419269e+00,1.309725805211187e+00
1.255000000000001e-03,1.200000000000000e+01,1.263696667074586e+00,1.321535550442654e+00
1.265000000000001e-03,1.200000000000000e+01,1.275944279376953e+00,1.333232951651140e+00
1.275000000000001e-03,1.200000000000000e+01,1.288075382304141e+00,1.344819077545518e+00
1.285000000000001e-03,1.200000000000000e+01,1.300091084189280e+00,1.356294986668219e+00
1.295000000000001e-03,1.200000000000000e+01,1.311992482822126e+00,1.367661727491949e+00
1.305000000000001e-03,1.200000000000000e+01,1.323780665549354e+00,1.378920338515477e+00
1.315000000000001e-03,1.200000000000000e+01,1.335456709373900e+00,1.390071848358518e+00
1.325000000000001e-03,1.200000000000000e+01,1.347021681053363e+00,1.401117275855706e+00
1.335000000000001e-03,1.200000000000000e+01,1.358476637197465e+00,1.412057630149683e+00
1.345000000000001e-03,1.200000000000000e+01,1.369822624364585e+00,1.422893910783296e+00
1.355000000000001e-03,1.200000000000000e+01,1.381060679157377e+00,1.433627107790915e+00
