time,V(isense_adc),V(isense_raw),V(shunt_node)
9.240586217261005e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.245586217261004e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.250586217261004e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.255586217261004e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.260586217261004e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.265586217261004e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.270586217261003e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.275586217261003e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.280586217261003e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.285586217261003e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.290586217261003e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.295586217261002e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.300586217261002e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.305586217261002e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.310586217261002e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.315586217261002e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.320586217261001e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.325586217261001e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.330586217261001e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.335586217261001e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.340586217261001e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.345586217261000e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
9.350586217261000e-03,2.499999999999995e+00,2.500000000000000e+00,1.250000000000000e-01
