time,V(sw),I(Rmotor),I(Dfly)
2.041124804790423e-05,1.052941381345434e+00,1.992828286749447e-01,-5.405431166281005e-03
2.141124804790423e-05,1.032813212217153e+00,2.069895689577311e-01,5.403038154678796e-03
2.241124804790423e-05,1.154878428396189e+00,2.145234083201140e-01,-5.388827387342587e-03
2.341124804790423e-05,1.131565221062455e+00,2.218886715558137e-01,5.386054443574650e-03
2.441124804790423e-05,1.257786109561960e+00,2.290859730053197e-01,-5.371299554752795e-03
2.505000000000000e-05,1.213040873112702e+00,2.335974065586526e-01,5.363030044054362e-03
2.510000000000000e-05,1.253021458375942e+01,2.336668964511338e-01,2.336668964261079e-01
2.510043224934203e-05,1.253466287127007e+01,2.336650492130188e-01,2.336650491877990e-01
2.510129674802609e-05,1.253531876438414e+01,2.336613544870743e-01,2.336613544618871e-01
2.510302574539421e-05,1.253479351355390e+01,2.336539650774072e-01,2.336539650521985e-01
2.510463758982906e-05,1.253527205190983e+01,2.336470765781503e-01,2.336470765530052e-01
2.510786127869876e-05,1.253479444840657e+01,2.336333001125365e-01,2.336333000873836e-01
2.511430865643817e-05,1.253526997124527e+01,2.336057493183387e-01,2.336057492929910e-01
2.512681342471379e-05,1.253478689845356e+01,2.335523223647502e-01,2.335523223397118e-01
2.515182296126503e-05,1.253523907262379e+01,2.334455009064467e-01,2.334455008813308e-01
2.520108451764363e-05,1.253473515541416e+01,2.332352197686678e-01,2.332352197434773e-01
2.529886318682915e-05,1.253513333936261e+01,2.328183310633236e-01,2.328183310381249e-01
2.549442052520019e-05,1.253452661311569e+01,2.319865276942790e-01,2.319865276691857e-01
2.588553520194227e-05,1.253471989245048e+01,2.303307856179545e-01,2.303307855926917e-01
2.666776455542644e-05,1.253369141949631e+01,2.270505187817328e-01,2.270505187568617e-01
2.766776455542644e-05,1.253345391475587e+01,2.229169811973937e-01,2.229169811721832e-01
2.866776455542644e-05,1.253225263957397e+01,2.188497730689931e-01,2.188497730437078e-01
2.966776455542644e-05,1.253205549634136e+01,2.148478214602287e-01,2.148478214350646e-01
3.066776455542645e-05,1.253084454774610e+01,2.109100952894399e-01,2.109100952641541e-01
3.166776455542644e-05,1.253066953754419e+01,2.070355640613227e-01,2.070355640361399e-01
3.266776455542644e-05,1.252944356593281e+01,2.032232320733285e-01,2.032232320481242e-01
3.366776455542644e-05,1.252929189319364e+01,1.994721003965063e-01,1.994721003712385e-01
3.466776455542643e-05,1.252804966466724e+01,1.957812056032181e-01,1.957812055780650e-01
3.566776455542643e-05,1.252792183015616e+01,1.921495796664864e-01,1.921495796412387e-01
3.666776455542643e-05,1.252666221168953e+01,1.885762903806799e-01,1.885762903555133e-01
3.766776455542643e-05,1.252655878921770e+01,1.850603995984028e-01,1.850603995731603e-01
3.866776455542642e-05,1.252528061203072e+01,1.816010053838432e-01,1.816010053587291e-01
3.966776455542642e-05,1.252520221871590e+01,1.781971984928900e-01,1.781971984677710e-01
4.066776455542642e-05,1.252390427039257e+01,1.748481063418851e-01,1.748481063167873e-01
4.166776455542641e-05,1.252385157021459e+01,1.715528476420070e-01,1.715528476167805e-01
4.266776455542641e-05,1.252253259124261e+01,1.683105782754181e-01,1.683105782503702e-01
4.366776455542641e-05,1.252250629739883e+01,1.651204439885399e-01,1.651204439633602e-01
4.466776455542641e-05,1.252116497763899e+01,1.619816282734480e-01,1.619816282483910e-01
4.566776455542640e-05,1.252116585516743e+01,1.588933030186517e-01,1.588933029936257e-01
4.666776455542640e-05,1.251980083007565e+01,1.558546784998711e-01,1.558546784746895e-01
4.766776455542640e-05,1.251982969869964e+01,1.528649518804296e-01,1.528649518551717e-01
4.866776455542640e-05,1.251843954527136e+01,1.499233594223192e-01,1.499233593972349e-01
4.966776455542639e-05,1.251849728248873e+01,1.470291227212963e-01,1.470291226960896e-01
5.000000000000000e-05,1.251751272177921e+01,1.460779300092749e-01,1.460779299840809e-01
5.000625000000000e-05,1.251786387462814e+01,1.460600864384735e-01,1.460600864133355e-01
5.001875000000000e-05,1.251786802963900e+01,1.460244028401827e-01,1.460244028151081e-01
5.002762687813826e-05,1.251208081559736e+01,1.459990921292255e-01,1.228530373533587e-01
5.003471198027439e-05,1.249020801201740e+01,1.459789909013977e-01,6.009698285286191e-02
5.003881458103436e-05,1.244035544451004e+01,1.459674995682430e-01,5.763365808988397e-03
5.004123280186287e-05,1.225603012458743e+01,1.459610098118397e-01,-3.240521579993327e-02
5.004307617627898e-05,1.181958338405153e+01,1.459566353791462e-01,-6.454812256549758e-02
5.004475730645016e-05,1.097137913607269e+01,1.459537263421891e-01,-9.615352550955691e-02
5.004739392643266e-05,8.002281757457014e+00,1.459541979973861e-01,-1.501094141263337e-01
5.005000000000000e-05,2.107030183509877e+00,1.459662174609260e-01,-1.771057404134613e-01
5.005139595403283e-05,4.880550553840171e-01,1.459778986899549e-01,4.035794783302848e-02
5.005331383638195e-05,8.182675686560517e-01,1.459951802210033e-01,-2.057775794970018e-02
5.005463466681397e-05,6.629929057390602e-01,1.460069664189029e-01,7.026576323656553e-03
5.005635057837460e-05,7.196530205732584e-01,1.460223620291053e-01,-3.228759154598748e-03
5.005930070919619e-05,6.903708410223932e-01,1.460487901347084e-01,2.086061841641840e-03
5.006309983754717e-05,7.096987162616935e-01,1.460828408136596e-01,-1.502458041060528e-03
5.007069809424912e-05,6.947956192566537e-01,1.461509192064097e-01,1.273740296803272e-03
5.008589460765302e-05,7.092426202921034e-01,1.462870545849411e-01,-1.165588293909892e-03
5.011628763446081e-05,6.981539530106827e-01,1.465591750757681e-01,1.123111164758051e-03
5.017707368807640e-05,7.134983021270854e-01,1.471028899207774e-01,-1.094286703773317e-03
5.029864579530758e-05,7.074159922304915e-01,1.481881722208435e-01,1.088392749728495e-03
5.054179000976993e-05,7.315505288585310e-01,1.503502251765444e-01,-1.077053178628606e-03
